#Uni

Uni
Stuttgart

#Mitarbeiter

Mitarbeiter
5
Riexinger, Sascha, FK
Hoffmann, Benjamin, TI
Diekert, Volker, TI
Claus, Volker, FK
Nowotka, Dirk, SZS

#Studenten

Studenten
5
Hans, Peter, 2223341
Lusche, Voll, 2211332
Voll, Verpennt, 1222334
Mustermann, Jörg, 2334455
Dietermann, Petra, 2255667

#Prüfungen
Pruefungen
5
PSE, Sascha Riexinger(FK)
Logik und Diskrete Strukturen, Volker Diekert(TI)
Theoretische Informatik B, Benjamin Hoffman(TI)
Softwarezuverlaessigkeit, Dirk Nowotka(SZS)
Grundlagen Informatik, Volker Claus(FK)

#Prüfungsanmeldungen
Anmeldung
10
Peter Hans(2223341), PSE
Voll Lusche(2211332), PSE
Verpennt Voll(1222334), PSE
Jörg Mustermann(2334455), PSE
Petra Dietermann(2255667), PSE
Peter Hans(2223341), Logik und Diskrete Strukturen
Voll Lusche(2211332), Logik und Diskrete Strukturen
Jörg Mustermann(2334455), Logik und Diskrete Strukturen
Petra Dietermann(2255667), Logik und Diskrete Strukturen
Peter Hans(2223341), Softwarezuverlaessigkeit
Voll Lusche(2211332), Softwarezuverlaessigkeit
Verpennt Voll(1222334), Grundlagen Informatik
Jörg Mustermann(2334455), Grundlagen Informatik
